topic,name,weight,note,image_name
飘洋1899,丹尼尔索拉斯,0.0302492,怀疑从普罗米修斯船过来，偷听莫拉房间，住莫拉旁边。,丹尼尔索拉斯.png
飘洋1899,亨利辛来顿,0.034537,轮船公司老总，买下普罗米修斯号，一直做人脑实验。,亨利辛来顿.png
飘洋1899,伊本,0.0300753,小女孩妈妈。,伊本.png
飘洋1899,克蕾曼丝,0.025549,不知道情况。,克蕾曼丝.png
飘洋1899,克雷斯特,0.0482245,姐姐准备分娩，找医生帮忙。,克雷斯特.png
飘洋1899,兰登,0.0170234,船员，有点迷信。,兰登.png
飘洋1899,凌伊妈妈,0.025343,,凌伊妈妈.png
飘洋1899,凌依,0.0606074,讲粤语，假扮日本人。,凌依.png
飘洋1899,吕西恩,0.0463462,害怕找到普罗米修斯号，带女友上船，与女友不和。患绝症只剩几天生命，想去美国看医生。,吕西恩.png
飘洋1899,哲罗姆,0.0477374,在底层偷东西，抢面包吃。,哲罗姆.png
飘洋1899,塞伦,0.02349,莫拉的哥哥，第一季未出场，怀疑被父亲抓走，写信给莫拉提示。,
飘洋1899,大副,0.0255292,船长后第二负责人。,大副.png
飘洋1899,奥莱克,0.0404746,煤炭工。,奥莱克.png
飘洋1899,妮娜,0.0157436,船长女儿，老婆放火烧死自己和三个女儿。,妮娜.png
飘洋1899,威尔逊,0.0446279,和莱拉是朋友，不让日本人和仆人说话。,威尔逊.png
飘洋1899,媚媚,0.0158593,妓院员工。,媚媚.png
飘洋1899,安格尔,0.0243635,说外语，引人注意。,安格尔.png
飘洋1899,安高,0.0319597,孕妇爸爸，信教者，不如妻子疯狂。牧师，以前是农民。,安高.png
飘洋1899,尤金,0.0155622,船上安保人员之一。,尤金.png
飘洋1899,弗朗茨,0.0470915,船员兼打手。不满船长和大副，发动叛变。,弗朗茨.png
飘洋1899,托芙,0.0656761,准备生小孩。,托芙.png
飘洋1899,拉米罗,0.0249647,牧师，胆小。假扮神父，假扮哥哥，其实是葡萄牙仆役，假扮西班牙人。,拉米罗.png
飘洋1899,艾克,0.0479421,船长，有老婆和三个女儿，都烧死了。,艾克.png
飘洋1899,艾略特,0.0307959,有小虫子，可以随意开门，普罗米修斯号唯一幸存者。,艾略特.png
飘洋1899,艾达,0.0643955,小女孩，梦想成为医生。,艾达.png
飘洋1899,莫拉富兰克林,0.0862841,要和哥哥查清父亲的勾当。英国人，医生，研究头脑，没办法实践。,莫拉富兰克林.png
飘洋1899,雷金纳德穆雷,0.0295478,父母都是医生，但被认为很愚蠢。,雷金纳德穆雷.png
