topic,group_name,character_name
红楼梦,丫鬟,
红楼梦,丫鬟,娇杏
红楼梦,丫鬟,媚人
红楼梦,丫鬟,平儿
红楼梦,丫鬟,晴雯
红楼梦,丫鬟,紫鹃
红楼梦,丫鬟,袭人
红楼梦,丫鬟,雪雁
红楼梦,丫鬟,麝月
红楼梦,刘姥姥家,
红楼梦,刘姥姥家,刘姥姥
红楼梦,刘姥姥家,刘氏(狗儿妻)
红楼梦,刘姥姥家,周瑞
红楼梦,刘姥姥家,板儿
红楼梦,刘姥姥家,狗儿
红楼梦,刘姥姥家,王成
红楼梦,刘姥姥家,青儿
红楼梦,史家,
红楼梦,史家,史湘云
红楼梦,嬷嬷,
红楼梦,嬷嬷,李嬷嬷
红楼梦,嬷嬷,王嬷嬷
红楼梦,宁国府,
红楼梦,宁国府,宁国公
红楼梦,宁国府,尤氏
红楼梦,宁国府,秦氏
红楼梦,宁国府,贾代化
红楼梦,宁国府,贾惜春
红楼梦,宁国府,贾敬
红楼梦,宁国府,贾敷
红楼梦,宁国府,贾珍
红楼梦,宁国府,贾蓉
红楼梦,宝玉丫鬟,
红楼梦,宝玉丫鬟,媚人
红楼梦,宝玉丫鬟,晴雯
红楼梦,宝玉丫鬟,袭人
红楼梦,宝玉丫鬟,麝月
红楼梦,宝玉同辈,
红楼梦,宝玉同辈,林黛玉
红楼梦,宝玉同辈,王熙凤
红楼梦,宝玉同辈,薛宝钗
红楼梦,宝玉同辈,薛蟠
红楼梦,宝玉同辈,贾元春
红楼梦,宝玉同辈,贾宝玉
红楼梦,宝玉同辈,贾探春
红楼梦,宝玉同辈,贾环
红楼梦,宝玉同辈,贾珍
红楼梦,宝玉同辈,贾珠
红楼梦,宝玉同辈,贾迎春
红楼梦,宝玉晚辈,
红楼梦,宝玉晚辈,秦可卿
红楼梦,宝玉晚辈,秦氏
红楼梦,宝玉晚辈,贾巧姐
红楼梦,宝玉晚辈,贾蓉
红楼梦,幻境仙姑,
红楼梦,幻境仙姑,度恨菩提
红楼梦,幻境仙姑,引愁金女
红楼梦,幻境仙姑,痴梦仙姑
红楼梦,幻境仙姑,警幻仙姑
红楼梦,幻境仙姑,钟情大士
红楼梦,林府,
红楼梦,林府,林海
红楼梦,林府,林黛玉
红楼梦,林府,贾敏
红楼梦,林府,贾氏
红楼梦,王家,
红楼梦,王家,王子腾
红楼梦,王家,王氏
红楼梦,王家,王熙凤
红楼梦,甄士隐家,
红楼梦,甄士隐家,奶母
红楼梦,甄士隐家,娇杏
红楼梦,甄士隐家,封氏
红楼梦,甄士隐家,甄费
红楼梦,甄士隐家,英莲
红楼梦,甄士隐家,霍启
红楼梦,英莲拐卖事件,
红楼梦,英莲拐卖事件,冯渊
红楼梦,英莲拐卖事件,英莲
红楼梦,英莲拐卖事件,英莲拐子
红楼梦,英莲拐卖事件,葫芦庙沙弥
红楼梦,英莲拐卖事件,薛蟠
红楼梦,英莲拐卖事件,贾化
红楼梦,英莲拐卖事件,霍启
红楼梦,荣国府,
红楼梦,荣国府,史老夫人
红楼梦,荣国府,周瑞
红楼梦,荣国府,周瑞家的
红楼梦,荣国府,媚人
红楼梦,荣国府,平儿
红楼梦,荣国府,晴雯
红楼梦,荣国府,李嬷嬷
红楼梦,荣国府,李氏
红楼梦,荣国府,李纨
红楼梦,荣国府,王氏
红楼梦,荣国府,王熙凤
红楼梦,荣国府,秦可卿
红楼梦,荣国府,紫鹃
红楼梦,荣国府,荣国公
红楼梦,荣国府,袭人
红楼梦,荣国府,贾代善
红楼梦,荣国府,贾元春
红楼梦,荣国府,贾兰
红楼梦,荣国府,贾宝玉
红楼梦,荣国府,贾巧姐
红楼梦,荣国府,贾探春
红楼梦,荣国府,贾政
红楼梦,荣国府,贾敏
红楼梦,荣国府,贾环
红楼梦,荣国府,贾珠
红楼梦,荣国府,贾琏
红楼梦,荣国府,贾赦
红楼梦,荣国府,贾迎春
红楼梦,荣国府,赵姨娘
红楼梦,荣国府,邢氏
红楼梦,荣国府,麝月
红楼梦,薛家,
红楼梦,薛家,王氏(薛潘母)
红楼梦,薛家,薛姨妈
红楼梦,薛家,薛宝钗
红楼梦,薛家,薛蟠
红楼梦,金陵十二钗,
红楼梦,金陵十二钗,史湘云
红楼梦,金陵十二钗,妙玉
红楼梦,金陵十二钗,李纨
红楼梦,金陵十二钗,林黛玉
红楼梦,金陵十二钗,王熙凤
红楼梦,金陵十二钗,秦可卿
红楼梦,金陵十二钗,薛宝钗
红楼梦,金陵十二钗,贾元春
红楼梦,金陵十二钗,贾巧姐
红楼梦,金陵十二钗,贾惜春
红楼梦,金陵十二钗,贾探春
红楼梦,金陵十二钗,贾迎春
